_Id,_CreationDate,_PostId,_RelatedPostId,_LinkTypeId
108,2010-07-21T14:47:33.983,395,173,1
145,2010-07-23T16:30:41.780,548,539,1
151,2010-07-24T09:11:01.413,536,590,1
217,2010-07-26T20:12:15.600,375,30,1
263,2010-07-27T16:00:22.133,769,31,1
264,2010-07-27T16:00:22.133,769,6,1
272,2010-07-27T17:19:27.610,790,298,1
281,2010-07-27T23:22:51.830,715,7,1
338,2010-07-28T19:36:09.993,834,577,1
360,2010-07-29T19:01:22.583,614,170,1
401,2010-07-30T11:47:06.390,1034,974,1
479,2010-08-01T12:08:34.573,222,146,1
496,2010-08-02T21:27:41.760,1143,1130,1
505,2010-08-03T19:39:42.113,590,536,1
558,2010-08-04T11:21:07.663,886,6,1
559,2010-08-04T11:21:07.663,886,372,1
583,2010-08-04T15:57:30.243,1205,856,1
587,2010-08-04T22:37:49.237,1194,6,1
619,2010-08-05T18:31:33.497,896,614,1
624,2010-08-05T22:09:43.680,1323,1066,1
661,2010-08-09T10:49:46.040,1289,53,1
668,2010-08-09T12:45:05.183,1437,1289,1
681,2010-08-10T01:27:11.730,1385,1268,1
704,2010-08-10T21:20:40.357,740,165,1
716,2010-08-11T14:06:20.297,1501,7,1
717,2010-08-11T14:06:20.297,1501,973,1
726,2010-08-11T14:59:38.030,1207,1142,1
737,2010-08-11T18:57:07.273,1536,1052,1
740,2010-08-11T20:39:16.567,1521,6,1
754,2010-08-12T07:09:59.977,1413,1583,1
776,2010-08-12T15:18:28.103,1583,1412,1
781,2010-08-12T18:12:39.307,1272,47,1
831,2010-08-13T11:42:08.187,672,22,1
836,2010-08-13T17:42:32.780,1601,1444,1
837,2010-08-13T17:42:32.780,1601,1386,1
855,2010-08-14T23:07:11.867,1580,1149,1
875,2010-08-16T18:27:32.170,1749,1123,1
880,2010-08-17T05:27:03.127,396,257,1
895,2010-08-17T21:28:16.327,1780,124,1