_Id,_TagName,_Count,_ExcerptPostId,_WikiPostId
1,bayesian,4287,20258,20257
2,prior,537,62158,62157
3,elicitation,10,,
5,open-source,16,,
6,distributions,5494,8046,8045
9,machine-learning,10976,9066,9065
10,dataset,1264,20490,20489
11,sample,634,28276,28275
12,population,339,69287,69286
15,measurement,240,66319,66318
16,scales,320,139243,139242
17,interpolation,175,64387,64386
18,multivariable,42,,
21,anova,3500,9251,9250
23,census,47,63450,63449
26,frequentist,243,87156,87155
27,pdf,968,40526,40525
28,cdf,400,40912,40911
30,time-series,8570,3017,3016
33,standard-deviation,1284,28218,28217
37,algorithms,697,21863,21862
38,hypothesis-testing,5740,3019,3018
39,p-value,1609,28336,28335
41,r,18848,2331,2254
44,poisson-distribution,1202,28212,28211
46,overdispersion,153,67696,67695
47,correlation,4051,8556,8555
48,teaching,143,158874,158873
50,logit,536,28194,28193
52,transportation,5,,
54,data-visualization,2122,20484,20483
55,clustering,2824,3015,3014
58,pattern-recognition,337,68772,68771
59,random-variable,1262,33480,33479
60,error,674,63555,63554
62,neural-networks,3708,50760,50759
72,nonparametric,1239,20492,20491
74,forecasting,2319,3190,3189
75,garch,505,62398,62397
76,volatility-forecasting,109,280521,280520